"UM_CODE";"UM_NAMEF";"global_id";"UM_NAMES";"UM_TRANS";"UM_TYPE";"UM_TM";"UM_TE";"UM_KLADR";
"002195";"аллея Большого Круга";"58485395";"аллея Большого Круга";"alleya Bol`shogo Kruga";"009";"";"0408";"77000000000363900";
"002200";"Большой Предтеченский переулок";"58485396";"Б. Предтеченский пер.";"Bol`shoj Predtechenskij pereulok";"002";"";"0106";"77000000000705800";
"002210";"Гусятников переулок";"58485397";"Гусятников пер.";"Gusyatnikov pereulok";"002";"";"0102";"77000000000701100";
"002220";"Борисовская улица";"58485398";"Борисовская ул.";"Borisovskaya ulicza";"001";"";"0417";"77000000000088600";
"002230";"улица Борисовские Пруды";"58485399";"ул. Борисовские Пруды";"ulicza Borisovskie Prudy'";"001";"";"0608;0612";"77000000000047100";
"002235";"Борисовский проезд";"58485400";"Борисовский пр.";"Borisovskij proezd";"003";"";"0611;0616";"77000000000047200";
"002240";"Боровая улица";"58485401";"Боровая ул.";"Borovaya ulicza";"001";"";"0507";"77000000000024000";
"002250";"Боровицкая площадь";"58485402";"Боровицкая пл.";"Boroviczkaya ploshhad`";"004";"";"0108;0109";"77000000000088800";
"002270";"Боровское шоссе";"58485403";"Боровское ш.";"Borovskoe shosse";"006";"734120;735170";"0811;0813;0816;1101;1105";"77001000005001600;77009000015000500;77009000016000200;77000000000089000";
"002285";"Боровский проезд";"58485404";"Боровский пр.";"Borovskij proezd";"003";"";"0816";"77000000000088900";
"002290";"1-я Бородинская улица";"58485405";"1-я Бородинская ул.";"Pervaya Borodinskaya ulicza";"001";"";"0805";"77000000000352900";
"002300";"2-я Бородинская улица";"58485406";"2-я Бородинская ул.";"Vtoraya Borodinskaya ulicza";"001";"";"0805";"77000000000353000";
"002310";"площадь Борьбы";"58485407";"пл. Борьбы";"ploshhad` Bor`by'";"004";"";"0108;0309";"77000000000089200";
"002320";"Ботаническая улица";"58485408";"Ботаническая ул.";"Botanicheskaya ulicza";"001";"";"0308;0310";"77000000000089400";
"002330";"Малая Ботаническая улица";"58485409";"М. Ботаническая ул.";"Malaya Botanicheskaya ulicza";"001";"";"0308";"77000000000089300";
"002340";"Ботанический переулок";"58485410";"Ботанический пер.";"Botanicheskij pereulok";"002";"";"0105";"77000000000089500";
"002350";"1-й Ботанический проезд";"58485411";"1-й Ботанический пр.";"Pervy'j Botanicheskij proezd";"003";"";"0313";"77000000000325500";
"002370";"1-й Боткинский проезд";"58485412";"1-й Боткинский пр.";"Pervy'j Botkinskij proezd";"003";"";"0202";"77000000000089700";
"002371";"2-й Боткинский проезд";"58485413";"2-й Боткинский пр.";"Vtoroj Botkinskij proezd";"003";"";"0202";"77000000000089800";
"002380";"2-й Ботанический проезд";"58485414";"2-й Ботанический пр.";"Vtoroj Botanicheskij proezd";"003";"";"0313";"77000000000325600";
"002385";"улица Василия Ботылёва";"58485415";"ул. Василия Ботылёва";"ulicza Vasiliya Boty'lyova";"001";"";"0807";"77000000000093500";
"002387";"улица Академика Бармина";"58485416";"ул. Академика Бармина";"ulicza Akademika Barmina";"001";"";"0818";"77000000000782000";
"002388";"улица Академика Бочвара";"58485417";"ул. Академика Бочвара";"ulicza Akademika Bochvara";"001";"";"0907";"77000000000089900";
"002390";"улица Бочкова";"58485418";"ул. Бочкова";"ulicza Bochkova";"001";"";"0310";"77000000000090000";
"002400";"Боярский переулок";"58485419";"Боярский пер.";"Boyarskij pereulok";"002";"";"0102";"77000000000090100";
"002405";"Братеевская улица";"58485420";"Братеевская ул.";"Brateevskaya ulicza";"001";"";"0608";"77000000000047300";
"002410";"Братиславская улица";"58485421";"Братиславская ул.";"Bratislavskaya ulicza";"001";"";"0509";"77000000000708300";
"002420";"Братская улица";"58485422";"Братская ул.";"Bratskaya ulicza";"001";"";"0411;0413";"77000000000038400";
"002430";"Братцевская улица";"58485423";"Братцевская ул.";"Bratczevskaya ulicza";"001";"";"0904";"77000000000353100";
"002440";"1-я Брестская улица";"58485424";"1-я Брестская ул.";"Pervaya Brestskaya ulicza";"001";"";"0108";"77000000000090200";
"002450";"2-я Брестская улица";"58485425";"2-я Брестская ул.";"Vtoraya Brestskaya ulicza";"001";"";"0106;0108";"77000000000090300";
"002470";"Бригадирский переулок";"58485426";"Бригадирский пер.";"Brigadirskij pereulok";"002";"";"0102";"77000000000090400";
"002480";"Бродников переулок";"58485427";"Бродников пер.";"Brodnikov pereulok";"002";"";"0110";"77000000000090500";
"002490";"Большая Бронная улица";"58485428";"Б. Бронная ул.";"Bol`shaya Bronnaya ulicza";"001";"";"0106;0108";"77000000000090600";
"002500";"Малая Бронная улица";"58485429";"М. Бронная ул.";"Malaya Bronnaya ulicza";"001";"";"0106";"77000000000090700";
"002510";"Бронницкая улица";"58485430";"Бронницкая ул.";"Bronniczkaya ulicza";"001";"";"0510";"77000000000003700";
"002520";"Бронницкий переулок";"58485431";"Бронницкий пер.";"Bronniczkij pereulok";"002";"";"0510";"77000000000003800";
"002530";"Брошевский переулок";"58485432";"Брошевский пер.";"Broshevskij pereulok";"002";"";"0107";"77000000000090800";
"002535";"улица Брусилова";"58485433";"ул. Брусилова";"ulicza Brusilova";"001";"";"0711";"77000000000739100";
"002540";"улица Брюллова";"58485434";"ул. Брюллова";"ulicza Bryullova";"001";"";"0214";"77000000000325700";
"002550";"Брянская улица";"58485435";"Брянская ул.";"Bryanskaya ulicza";"001";"";"0805";"77000000000090900";
"002555";"улица Брянский Пост";"58485436";"ул. Брянский Пост";"ulicza Bryanskij Post";"001";"";"0106";"77000000000415100";
"002570";"2-й Брянский переулок";"58485437";"2-й Брянский пер.";"Vtoroj Bryanskij pereulok";"002";"";"0805";"77000000000353300";
"002575";"Будайская улица";"58485438";"Будайская ул.";"Budajskaya ulicza";"001";"";"0312";"77000000000091000";
"002576";"Будайский проезд";"58485439";"Будайский пр.";"Budajskij proezd";"003";"";"0312";"77000000000091100";
"002580";"улица Екатерины Будановой";"58485440";"ул. Екатерины Будановой";"ulicza Ekateriny' Budanovoj";"001";"";"0807";"77000000000353400";
"002585";"проспект Будённого";"58485441";"просп. Будённого";"prospekt Budyonnogo";"010";"";"0417";"77000000000038500";
"002590";"Буженинова улица";"58485442";"Буженинова ул.";"Buzheninova ulicza";"001";"";"0415";"77000000000091200";
"002595";"Булатниковская улица";"58485443";"Булатниковская ул.";"Bulatnikovskaya ulicza";"001";"";"0607";"77000000000091300";
"002596";"Булатниковский проезд";"58485444";"Булатниковский пр.";"Bulatnikovskij proezd";"003";"";"0607";"77000000000091400";
"002598";"Бумажная просека";"58485445";"Бумажная просека";"Bumazhnaya proseka";"014";"";"0410";"77000000000353500";
"002600";"Бумажный проезд";"58485446";"Бумажный пр.";"Bumazhny'j proezd";"003";"";"0202";"77000000000091500";
"002610";"улица Бунинская Аллея";"58485447";"ул. Бунинская Аллея";"ulicza Buninskaya Alleya";"001";"";"0711";"77000000000500400";
"002630";"Буракова улица";"58485448";"Буракова ул.";"Burakova ulicza";"001";"";"0417";"77000000000038600";
"002640";"улица Бурденко";"58485449";"ул. Бурденко";"ulicza Burdenko";"001";"";"0109";"77000000000700300";
